cod_parroquia	parroquia
PR141250	Santiago
PR141251	San Jose De Morona
PR150150	Tena
PR150151	Ahuano
PR150152	Carlos Julio Arosemena Tola (Zatza-Yacu)
PR150153	Chontapunta
PR150154	Pano
PR150155	Puerto Misahualli
PR150156	Puerto Napo
PR150157	Talag
PR150158	San Juan De Muyuna
PR150350	Archidona
PR150351	Avila
PR150352	Cotundo
PR150353	Loreto
PR150354	San Pablo De Ushpayacu
PR150355	Puerto Murialdo
PR150450	El Chaco
PR150451	Gonzalo Diaz De Pineda (El Bombon)
PR150452	Linares
PR150453	Oyacachi
PR150454	Santa Rosa
PR150455	Sardinas
PR150750	Baeza
PR150751	Cosanga
PR150752	Cuyuja
PR150753	Papallacta
PR150754	San Francisco De Borja (Virgilio Davila)
PR150755	San Jose Del Payamino
PR150756	Sumaco
PR150950	Carlos Julio Arosemena Tola
PR160150	Puyo
PR160151	Arajuno
PR160152	Canelos
PR160153	Curaray
PR160154	Diez De Agosto
PR160155	Fatima
PR160156	Montalvo (Andoas)
PR160157	Pomona
PR160158	Rio Corrientes
PR160159	Rio Tigre
PR160160	Santa Clara
PR160161	Sarayacu
PR160162	Simon Bolivar (Cab. En Mushullacta)
PR160163	Tarqui
PR160164	Teniente Hugo Ortiz
PR160165	Veracruz (Indillama) (Cab. En Indillama)
PR160166	El Triunfo
PR160250	Mera
PR160251	Madre Tierra
PR160252	Shell
PR160350	Santa Clara
PR160351	San Jose
PR160450	Arajuno
PR160451	Curaray
PR170101	Belisario Quevedo
PR170102	Carcelen
PR170103	Centro Historico
PR170104	Cochapamba
PR170105	Comite Del Pueblo
PR170106	Cotocollao
PR170107	Chilibulo
PR170108	Chillogallo
PR170109	Chimbacalle
PR170110	El Condado
PR170111	Guamani
PR170112	Inaquito
PR170113	Itchimbia
PR170114	Jipijapa
PR170115	Kennedy
PR170116	La Argelia
PR170117	La Concepcion
PR170118	La Ecuatoriana
PR170119	La Ferroviaria
PR170120	La Libertad
PR170121	La Magdalena
PR170122	La Mena
PR170123	Mariscal Sucre
PR170124	Ponceano
PR170125	Puengasi
PR170126	Quitumbe
PR170127	Rumipamba
PR170128	San Bartolo
PR170129	San Isidro Del Inca
PR170130	San Juan
PR170131	Solanda
PR170132	Turubamba
PR170150	Quito Distrito Metropolitano
PR170151	Alangasi
PR170152	Amaguana
PR170153	Atahualpa
PR170154	Calacali
PR170155	Calderon
PR170156	Conocoto
PR170157	Cumbaya
PR170158	Chavezpamba
PR170159	Checa
PR170160	El Quinche
PR170161	Gualea
PR170162	Guangopolo
PR170163	Guayllabamba
PR170164	La Merced
PR170165	Llano Chico
PR170166	Lloa
PR170167	Mindo
PR170168	Nanegal
PR170169	Nanegalito
PR170170	Nayon
PR170171	Nono
PR170172	Pacto
PR170173	Pedro Vicente Maldonado
PR170174	Perucho
PR170175	Pifo
PR170176	Pintag
PR170177	Pomasqui
PR170178	Puellaro
PR170179	Puembo
PR170180	San Antonio
PR170181	San Jose De Minas
PR170182	San Miguel De Los Bancos
PR170183	Tababela
PR170184	Tumbaco
PR170185	Yaruqui
PR170186	Zambiza
PR170187	Puerto Quito
PR170201	Ayora
PR170202	Cayambe
PR170203	Juan Montalvo
PR170250	Cayambe
PR170251	Ascazubi
PR170252	Cangahua
PR170253	Olmedo (Pesillo)
PR170254	Oton
PR170255	Santa Rosa De Cuzubamba
PR170350	Machachi
PR170351	Aloag
PR170352	Aloasi
PR170353	Cutuglahua
PR170354	El Chaupi
PR170355	Manuel Cornejo Astorga (Tandapi)
PR170356	Tambillo
PR170357	Uyumbicho
PR170450	Tabacundo
PR170451	La Esperanza
PR170452	Malchingui
PR170453	Tocachi
PR170454	Tupigachi
PR170501	Sangolqui
PR170502	San Pedro De Taboada
PR170503	San Rafael
PR170550	Sangolqui
PR170551	Cotogchoa
PR170552	Rumipamba
PR170750	San Miguel De Los Bancos
PR170751	Mindo
PR170752	Pedro Vicente Maldonado
PR170753	Puerto Quito
PR170850	Pedro Vicente Maldonado
PR170950	Puerto Quito
PR180101	Atocha – Ficoa
PR180102	Celiano Monge
PR180103	Huachi Chico
PR180104	Huachi Loreto
PR180105	La Merced
PR180106	La Peninsula
PR180107	Matriz
PR180108	Pishilata
PR180109	San Francisco
PR180150	Ambato
PR180151	Ambatillo
PR180152	Atahualpa (Chisalata)
PR180153	Augusto N. Martinez (Mundugleo)
PR180154	Constantino Fernandez (Cab. En Cullitahua)
PR180155	Huachi Grande
PR180156	Izamba
PR180157	Juan Benigno Vela
PR180158	Montalvo
PR180159	Pasa
PR180160	Picaigua
PR180161	Pilagüin (Pilahüin)
PR180162	Quisapincha (Quizapincha)
PR180163	San Bartolome De Pinllog
PR180164	San Fernando (Pasa San Fernando)
PR180165	Santa Rosa
PR180166	Totoras
PR180167	Cunchibamba
PR180168	Unamuncho
PR180250	Banos De Agua Santa
PR180251	Lligua
PR180252	Rio Negro
PR180253	Rio Verde
PR180254	Ulba
PR180350	Cevallos
PR180450	Mocha
PR180451	Pinguili
PR180550	Patate
PR180551	El Triunfo
PR180552	Los Andes (Cab. En Poatug)
PR180553	Sucre (Cab. En Sucre-Patate Urcu)
PR180650	Quero
PR180651	Rumipamba
PR180652	Yanayacu - Mochapata (Cab. En Yanayacu)
PR180701	Pelileo
PR180702	Pelileo Grande
PR180750	Pelileo
PR180751	Benitez (Pachanlica)
PR180752	Bolivar
PR180753	Cotalo
PR180754	Chiquicha (Cab. En Chiquicha Grande)
PR180755	El Rosario (Rumichaca)
PR180756	Garcia Moreno (Chumaqui)
PR180757	Guambalo (Huambalo)
PR180758	Salasaca
PR180801	Ciudad Nueva
PR180802	Pillaro
PR180850	Pillaro
PR180851	Baquerizo Moreno
PR180852	Emilio Maria Teran (Rumipamba)
PR180853	Marcos Espinel (Chacata)
PR180854	Presidente Urbina (Chagrapamba -Patzucul)
PR180855	San Andres
PR180856	San Jose De Poalo
PR180857	San Miguelito
PR180950	Tisaleo
PR180951	Quinchicoto
PR190101	El Limon
PR190102	Zamora
PR190150	Zamora
PR190151	Cumbaratza
PR190152	Guadalupe
PR190153	Imbana (La Victoria De Imbana)
PR190154	Paquisha
PR190155	Sabanilla
PR190156	Timbara
PR190157	Zumbi
PR190158	San Carlos De Las Minas
PR190250	Zumba
PR190251	Chito
PR190252	El Chorro
PR190253	El Porvenir Del Carmen
PR190254	La Chonta
PR190255	Palanda
PR190256	Pucapamba
PR190257	San Francisco Del Vergel
PR190258	Valladolid
PR190259	San Andres
PR190350	Guayzimi
PR190351	Zurmi
PR190352	Nuevo Paraiso
PR190450	28 De Mayo (San Jose De Yacuambi)
PR190451	La Paz
PR190452	Tutupali
PR190550	Yantzaza (Yanzatza)
PR190551	Chicana
PR190552	El Pangui
PR190553	Los Encuentros
PR190650	El Pangui
PR190651	El Guisme
PR190652	Pachicutza
PR190653	Tundayme
PR190750	Zumbi
PR190751	Paquisha
PR190752	Triunfo-Dorado
PR190753	Panguintza
PR190850	Palanda
PR190851	El Porvenir Del Carmen
PR190852	San Francisco Del Vergel
PR190853	Valladolid
PR190854	La Canela
PR190950	Paquisha
PR190951	Bellavista
PR190952	Nuevo Quito
PR200150	Puerto Baquerizo Moreno
PR200151	El Progreso
PR200152	Isla Santa Maria (Floreana) (Cab. En Pto. Velasco Ibarra)
PR200250	Puerto Villamil
PR200251	Tomas De Berlanga (Santo Tomas)
PR200350	Puerto Ayora
PR200351	Bellavista
PR200352	Santa Rosa (Incluye La Isla Baltra)
PR210150	Nueva Loja
PR210151	Cuyabeno
PR210152	Dureno
PR210153	General Farfan
PR210154	Tarapoa
PR210155	El Eno
PR210156	Pacayacu
PR210157	Jambeli
PR210158	Santa Cecilia
PR210159	Aguas Negras
PR210250	El Dorado De Cascales
PR210251	El Reventador
PR210252	Gonzalo Pizarro
PR210253	Lumbaqui
PR210254	Puerto Libre
PR210255	Santa Rosa De Sucumbios
PR210350	Puerto El Carmen Del Putumayo
PR210351	Palma Roja
PR210352	Puerto Bolivar (Puerto Montufar)
PR210353	Puerto Rodriguez
PR210354	Santa Elena
PR210450	Shushufindi
PR210451	Limoncocha
PR210452	Panacocha
PR210453	San Roque (Cab. En San Vicente)
PR210454	San Pedro De Los Cofanes
PR210455	Siete De Julio
PR210550	La Bonita
PR210551	El Playon De San Francisco
PR210552	La Sofia
PR210553	Rosa Florida
PR210554	Santa Barbara
PR210650	El Dorado De Cascales
PR210651	Santa Rosa De Sucumbios
PR210652	Sevilla
PR210750	Tarapoa
PR210751	Cuyabeno
PR210752	Aguas Negras
PR220150	Puerto Francisco De Orellana (El Coca)
PR220151	Dayuma
PR220152	Taracoa (Nueva Esperanza: Yuca)
PR220153	Alejandro Labaka
PR220154	El Dorado
PR220155	El Eden
PR220156	Garcia Moreno
PR220157	Ines Arango (Cab. En Western)
PR220158	La Belleza
PR220159	Nuevo Paraiso (Cab. En Union
PR220160	San Jose De Guayusa
PR220161	San Luis De Armenia
PR220201	Tipitini
PR220250	Nuevo Rocafuerte
PR220251	Capitan Augusto Rivadeneyra
PR220252	Cononaco
PR220253	Santa Maria De Huiririma
PR220254	Tiputini
PR220255	Yasuni
PR220350	La Joya De Los Sachas
PR220351	Enokanqui
PR220352	Pompeya
PR220353	San Carlos
PR220354	San Sebastian Del Coca
PR220355	Lago San Pedro
PR220356	Rumipamba
PR220357	Tres De Noviembre
PR220358	Union Milagrena
PR220450	Loreto
PR220451	Avila (Cab. En Huiruno)
PR220452	Puerto Murialdo
PR220453	San Jose De Payamino
PR220454	San Jose De Dahuano
PR220455	San Vicente De Huaticocha
PR230101	Abraham Calazacon
PR230102	Bomboli
PR230103	Chiguilpe
PR230104	Rio Toachi
PR230105	Rio Verde
PR230106	Santo Domingo De Los Colorados
PR230107	Zaracay
PR230150	Santo Domingo De Los Colorados
PR230151	Alluriquin
PR230152	Puerto Limon
PR230153	Luz De America
PR230154	San Jacinto Del Bua
PR230155	Valle Hermoso
PR230156	El Esfuerzo
PR230157	Santa Maria Del Toachi
PR240101	Ballenita
PR240102	Santa Elena
PR240150	Santa Elena
PR240151	Atahualpa
PR240152	Colonche
PR240153	Chanduy
PR240154	Manglaralto
PR240155	Simon Bolivar (Julio Moreno)
PR240156	San Jose De Ancon
PR240250	La Libertad
PR240301	Carlos Espinoza Larrea
PR240302	Gral. Alberto Enriquez Gallo
PR240303	Vicente Rocafuerte
PR240304	Santa Rosa
PR240350	Salinas
PR240351	Anconcito
PR240352	Jose Luis Tamayo (Muey)
PR900151	Las Golondrinas
PR900351	Manga Del Cura
PR900451	El Piedrero
	
