cod_parroquia	parroquia
PR50160	Sigchos
PR50161	Tanicuchi
PR50162	Toacaso
PR50163	Palo Quemado
PR50201	El Carmen
PR50202	La Mana
PR50203	El Triunfo
PR50250	La Mana
PR50251	Guasaganda (Cab.En Guasaganda
PR50252	Pucayacu
PR50350	El Corazon
PR50351	Moraspungo
PR50352	Pinllopata
PR50353	Ramon Campana
PR50450	Pujili
PR50451	Angamarca
PR50452	Chucchilan (Chugchilan)
PR50453	Guangaje
PR50454	Isinlibi (Isinlivi)
PR50455	La Victoria
PR50456	Pilalo
PR50457	Tingo
PR50458	Zumbahua
PR50550	San Miguel
PR50551	Antonio Jose Holguin (Santa Lucia)
PR50552	Cusubamba
PR50553	Mulalillo
PR50554	Mulliquindil (Santa Ana)
PR50555	Pansaleo
PR50650	Saquisili
PR50651	Canchagua
PR50652	Chantilin
PR50653	Cochapamba
PR50750	Sigchos
PR50751	Chugchillan
PR50752	Isinlivi
PR50753	Las Pampas
PR50754	Palo Quemado
PR60101	Lizarzaburu
PR60102	Maldonado
PR60103	Velasco
PR60104	Veloz
PR60105	Yaruquies
PR60150	Riobamba
PR60151	Cacha (Cab. En Machangara)
PR60152	Calpi
PR60153	Cubijies
PR60154	Flores
PR60155	Lican
PR60156	Licto
PR60157	Pungala
PR60158	Punin
PR60159	Quimiag
PR60160	San Juan
PR60161	San Luis
PR60250	Alausi
PR60251	Achupallas
PR60252	Cumanda
PR60253	Guasuntos
PR60254	Huigra
PR60255	Multitud
PR60256	Pistishi (Nariz Del Diablo)
PR60257	Pumallacta
PR60258	Sevilla
PR60259	Sibambe
PR60260	Tixan
PR60301	Cajabamba
PR60302	Sicalpa
PR60350	Villa La Union (Cajabamba)
PR60351	Cani
PR60352	Columbe
PR60353	Juan De Velasco (Pangor)
PR60354	Santiago De Quito (Cab. En San Antonio De Quito)
PR60450	Chambo
PR60550	Chunchi
PR60551	Capzol
PR60552	Compud
PR60553	Gonzol
PR60554	Llagos
PR60650	Guamote
PR60651	Cebadas
PR60652	Palmira
PR60701	El Rosario
PR60702	La Matriz
PR60750	Guano
PR60751	Guanando
PR60752	Ilapo
PR60753	La Providencia
PR60754	San Andres
PR60755	San Gerardo De Pacaicaguan
PR60756	San Isidro De Patulu
PR60757	San Jose Del Chazo
PR60758	Santa Fe De Galan
PR60759	Valparaiso
PR60850	Pallatanga
PR60950	Penipe
PR60951	El Altar
PR60952	Matus
PR60953	Puela
PR60954	San Antonio De Bayushig
PR60955	La Candelaria
PR60956	Bilbao (Cab.En Quilluyacu)
PR61050	Cumanda
PR70101	La Providencia
PR70102	Machala
PR70103	Puerto Bolivar
PR70104	Nueve De Mayo
PR70105	El Cambio
PR70150	Machala
PR70151	El Cambio
PR70152	El Retiro
PR70250	Arenillas
PR70251	Chacras
PR70252	La Libertad
PR70253	Las Lajas (Cab. En La Victoria)
PR70254	Palmales
PR70255	Carcabon
PR70350	Paccha
PR70351	Ayapamba
PR70352	Cordoncillo
PR70353	Milagro
PR70354	San Jose
PR70355	San Juan De Cerro Azul
PR70450	Balsas
PR70451	Bellamaria
PR70550	Chilla
PR70650	El Guabo
PR70651	Barbones (Sucre)
PR70652	La Iberia
PR70653	Tendales (Cab.En Puerto Tendales)
PR70654	Rio Bonito
PR70701	Ecuador
PR70702	El Paraiso
PR70703	Hualtaco
PR70704	Milton Reyes
PR70705	Union Lojana
PR70750	Huaquillas
PR70850	Marcabeli
PR70851	El Ingenio
PR70901	Bolivar
PR70902	Loma De Franco
PR70903	Ochoa Leon (Matriz)
PR70904	Tres Cerritos
PR70950	Pasaje
PR70951	Buenavista
PR70952	Casacay
PR70953	La Peana
PR70954	Progreso
PR70955	Uzhcurrumi
PR70956	Canaquemada
PR71001	La Matriz
PR71002	La Susaya
PR71003	Pinas Grande
PR71050	Pinas
PR71051	Capiro (Cab. En La Capilla De Capiro)
PR71052	La Bocana
PR71053	Moromoro (Cab. En El Vado)
PR71054	Piedras
PR71055	San Roque (Ambrosio Maldonado)
PR71056	Saracay
PR71150	Portovelo
PR71151	Curtincapa
PR71152	Morales
PR71153	Salati
PR71201	Santa Rosa
PR71202	Puerto Jeli
PR71203	Balneario Jambeli (Satelite)
PR71204	Jumon (Satelite)
PR71205	Nuevo Santa Rosa
PR71250	Santa Rosa
PR71251	Bellavista
PR71252	Jambeli
PR71253	La Avanzada
PR71254	San Antonio
PR71255	Torata
PR71256	Victoria
PR71257	Bellamaria
PR71350	Zaruma
PR71351	Abanin
PR71352	Arcapamba
PR71353	Guanazan
PR71354	Guizhaguina
PR71355	Huertas
PR71356	Malvas
PR71357	Muluncay Grande
PR71358	Sinsao
PR71359	Salvias
PR71401	La Victoria
PR71402	Platanillos
PR71403	Valle Hermoso
PR71450	La Victoria
PR71451	La Libertad
PR71452	El Paraiso
PR71453	San Isidro
PR80101	Bartolome Ruiz (Cesar Franco Carrion)
PR80102	5 De Agosto
PR80103	Esmeraldas
PR80104	Luis Tello (Las Palmas)
PR80105	Simon Plata Torres
PR80150	Esmeraldas
PR80151	Atacames
PR80152	Camarones (Cab. En San Vicente)
PR80153	Crnel. Carlos Concha Torres (Cab.En Huele)
PR80154	Chinca
PR80155	Chontaduro
PR80156	Chumunde
PR80157	Lagarto
PR80158	La Union
PR80159	Majua
PR80160	Montalvo (Cab. En Horqueta)
PR80161	Rio Verde
PR80162	Rocafuerte
PR80163	San Mateo
PR80164	Sua (Cab. En La Bocana)
PR80165	Tabiazo
PR80166	Tachina
PR80167	Tonchigüe
PR80168	Vuelta Larga
PR80250	Valdez (Limones)
PR80251	Anchayacu
PR80252	Atahualpa (Cab. En Camarones)
PR80253	Borbon
PR80254	La Tola
PR80255	Luis Vargas Torres (Cab. En Playa De Oro)
PR80256	Maldonado
PR80257	Pampanal De Bolivar
